title,published,links,content,summaries,keywords
"Wall St holds gains after cooler inflation, mixed earnings",2:18 AM GMT+5:30,https://www.reuters.com/markets/global-markets-wrapup-1-2023-07-14/,"July 14 (Reuters) - Wall Street stocks mostly held on to their previous gains on Friday, while the dollar stayed near 15-month lows, after U.S. inflation data this week unleashed a wave of investor optimism that the U.S. Federal Reserve was nearing the end of its rate-hiking cycle. Data showed on Wednesday U.S. consumer prices growing at their slowest pace in more than two years, and on Thursday the smallest increase in U.S. producer inflation in nearly three years. On Friday, the government reported that U.S. import prices dropped 0.2% last month, and U.S. consumer sentiment jumped to the highest level in nearly two years. The MSCI World Equity index (.MIWD00000PUS) was little changed on Friday, staying at its peak for the year and its highest level since early 2022. Wall Street stocks were muted following steady gains earlier in the week, after mixed quarterly reports from bank and other financial firms, offsetting gains in UnitedHealth Group (UNH.N) and other health insurer stocks. The Dow Jones Industrial Average (.DJI) rose 0.33%, to 34,509, the S&P 500 (.SPX) lost 0.10%, to 4,505 and the Nasdaq Composite (.IXIC) dropped 0.18%, to 14,113. European stock indexes were little changed, with the STOXX (.STOXX) down 0.11% and London's FTSE 100 down 0.08% (.FTSE). Germany's DAX was down 0.2%, pulling back on recent gains (.GDAXI). Michele Morganti, senior equity strategist at Generali Investments in Rome, urged caution. He said price-to-earnings ratios were ""exuberant"" versus real rates and economic growth, especially in the U.S. ""We are still cautious on equities short term due to sticky core inflation, tightening credit conditions and macro indicators pointing south,"" Morganti said in an email. U.S. government bond yields bounced back slightly on Friday after sharp declines earlier in the week. The yield on 10-year Treasury notes was up 6.3 basis points at 3.822%. The two-year U.S. Treasury yield, which typically moves in step with interest rate expectations, was up 15 basis points (bps) at 4.761%. Euro zone government bond yields were little changed on Friday, with bonds holding on to their gains after a powerful two-day rally triggered by soft U.S. inflation numbers. Money market traders still expect the Fed to raise rates by 25 bps on July 26, but they have reduced the chances of another one after that this year . Norman Villamin, chief group strategist at UBP, said he expected another Fed rate hike in July, but that the September meeting was more uncertain. ""We're probably closer to the end of the cycle,"" he said, although he added that above-target inflation was still expected to persist in the longer term. ""Getting the 3% (inflation reading) is one thing, getting back to 2% is going to be a much harder task,"" Villamin said. ""That puts a floor on how low bond yields can go again."" The dollar hovered near a 15-month low on Friday, its biggest weekly decline since November after softening U.S. inflation data. The euro was steady at $1.1223, having earlier touched its highest in more than 16 months . Oil prices fell more than a dollar a barrel on Friday as the dollar strengthened and oil traders booked profits from a strong rally, with crude benchmarks recording their third-straight weekly gain. U.S. crude fell 2% to $75.33 per barrel and Brent was at $79.75, also down about 2% on the day. Gold prices eased, down about 0.3% on Friday, but were on track for their biggest weekly gain since April, after signs of slowing U.S. inflation.","

The U.S. Federal Reserve is nearing the end of its rate-hiking cycle, according to investors, after data this week showed that inflation is easing.

The MSCI World Equity index was little changed on Friday, staying at its peak for the year and its highest level since early 2022.

Wall Street stocks were muted following steady gains earlier in the week, after mixed quarterly reports from bank and other financial firms, offsetting gains in UnitedHealth Group and other health insurer stocks.

The dollar hovered near a 15-month low on Friday, its biggest weekly decline since November after softening U.S. inflation data.

Oil prices fell more than a dollar a barrel on Friday as the dollar strengthened and oil traders booked profits from a strong rally, with crude benchmarks recording their third-straight weekly gain.","[Inflation, Rate, Fed, Dollar, Oil]"
Toronto market posts weekly gain of more than 2%,2:00 AM GMT+5:30,https://www.reuters.com/markets/tsx-futures-gain-bets-fed-nearing-end-rate-hikes-2023-07-14/,"July 14 (Reuters) - Toronto's main stock index ended slightly lower on Friday but still posted a solid weekly gain as investors eyed U.S. bank earnings reports for signs of health in the U.S. economy. The Toronto Stock Exchange's S&P/TSX composite index (.GSPTSE) ended down 15.57 points, or 0.1%, at 20,262.07. For the week, the index was up 2.2%. Wall Street also posted strong gains this week as data showed U.S. inflation pressures easing and some major banks reported earnings. ""Banks earnings today look pretty good. It continues to show that the U.S. consumer is doing fine paying down debt,"" said Barry Schwartz, chief investment officer at Baskin Financial Services. ""That should add more confidence to the market over the coming weeks."" The Toronto market's heavily weighted financials sector gained 0.4%, industrials rose 0.8% and consumer staples ended 1.5% higher. Energy was a drag, falling 2.3% as oil gave back some of its recent gains. U.S. crude oil futures settled 1.9% lower at $75.42 a barrel. Shares of Telus International (Cda) Inca (TIXT.TO) tumbled 30.7% after the IT services company estimated a loss for the second quarter in preliminary results.","

The Toronto Stock Exchange's S&P/TSX composite index ended slightly lower on Friday but still posted a solid weekly gain as investors eyed U.S. bank earnings reports for signs of health in the U.S. economy. The index was up 2.2% for the week.

Wall Street also posted strong gains this week as data showed U.S. inflation pressures easing and some major banks reported earnings. ""Banks earnings today look pretty good. It continues to show that the U.S. consumer is doing fine paying down debt,"" said Barry Schwartz, chief investment officer at Baskin Financial Services. ""That should add more confidence to the market over the coming weeks.""","[Bank, earnings, gain, oil, stock]"
Iraq-Iran gas-for-oil barter would likely violate US sanctions,1:43 AM GMT+5:30,https://www.reuters.com/markets/commodities/iraq-iran-gas-for-oil-barter-would-likely-violate-us-sanctions-2023-07-14/,"WASHINGTON, July 14 (Reuters) - A barter of Iranian natural gas for Iraqi oil as described by the Iraqi prime minister this week would likely violate U.S. sanctions on Tehran unless the U.S. issued a waiver permitting it, three former U.S. officials said on Thursday. Iraqi Prime Minister Mohammed Shia al-Sudani on Tuesday said Iraq would begin trading crude oil for Iranian gas to end recurring payment delays to Tehran due to required U.S. approval for such transactions. Sudani said Iran had cut gas exports to Iraq by more than half as of July 1 after Baghdad failed to secure U.S. approval to disburse owed funds, but Tehran had now agreed to resume gas exports in exchange for crude oil. There are few details available about the potential barter, which could help defuse a political problem for Sudani since power cuts are unpopular during the sweltering Iraqi summer when temperatures can top 50 Celsius (122 Fahrenheit). However, three former U.S. officials said a barter would likely run afoul of U.S. sanctions. ""It would be a violation of U.S. sanctions to conduct this kind of a barter transaction with Iran absent a U.S. national security waiver being issued,"" said Richard Goldberg of the Foundation for Defense of Democracies think tank. ""This would be prohibited under the Iran Freedom and Counter-Proliferation Act, which prohibits any transaction related to energy with Iran,"" added Goldberg, who served on the Trump administration national security council staff. Secretary of State Antony Blinken issued a 120-day waiver on March 21, a State Department official said, allowing Iraq to pay Iran only for electricity imports, not for natural gas to fuel Iraqi domestic power generation. ""The March 2023 waiver, granted by the Secretary, allows Iraq to purchase electricity from Iran. Nothing else,"" said the official on condition of anonymity. That waiver was announced by the State Department on March 31. There has been speculation the waiver might be amended to allow barter, an issue the official declined to address. ""We are not in a position to preview any future decisions related to the waiver. We have no comment at this time regarding reports of a barter arrangement between Iraq and Iran,"" the official said. The Iraqi embassy in Washington did not immediately respond to a request for comment. Former U.S. officials said the Treasury Department, which oversees most U.S. sanctions against Iran, defines the term ""transaction"" so broadly that it would cover a barter exchange. ""The test is whether it's a 'significant' transaction. The test is not whether it's denominated in one currency or another or whether ... it's a barter,"" said a former senior Treasury official on condition of anonymity. The former official said that could provide ""enough wiggle room ... for the U.S. to look the other way, but that is a political decision, that's not a legal question. ""As far as a strictly legal question, it absolutely does violate U.S. sanctions,"" he added.","
    Iraq and Iran are considering a barter of Iranian natural gas for Iraqi oil. The barter would likely violate U.S. sanctions on Iran unless the U.S. issued a waiver permitting it.
    Secretary of State Antony Blinken issued a 120-day waiver on March 21, allowing Iraq to pay Iran only for electricity imports, not for natural gas to fuel Iraqi domestic power generation.
    There has been speculation that the waiver might be amended to allow barter, but the U.S. has not yet commented on the matter.","[Iraq, Iran, gas, oil, sanctions]"
"Oil prices fall on profit-taking, still record weekly gain",12:59 AM GMT+5:30,https://www.reuters.com/markets/commodities/oil-prices-up-tighter-supply-lower-us-inflation-2023-07-14/,"BENGALURU, July 14 (Reuters) - Oil prices fell more than a dollar a barrel on Friday as the dollar strengthened and oil traders booked profits from a strong rally, with crude benchmarks recording their third-straight weekly gain. Brent crude futures settled at $79.87 per barrel, down $1.49, or 1.8%, while the U.S. West Texas Intermediate crude futures fell $1.47, or 1.9%, to settle at $75.42 a barrel. ""It just appears to be some profit taking, with some demand concerns coming back to the front and center as the dollar rebounds,"" said John Kilduff, partner at Again Capital. The U.S. dollar index (.DXY) edged higher after hitting a 15-month low during the session, as investors consolidated ahead of the weekend. A stronger greenback reduces oil demand, making crude more expensive for investors holding other currencies. Next week, however, the rally could resume as easing inflation, plans to refill the U.S. strategic reserve, supply cuts and disruptions could support the market, said Rob Haworth, senior investment strategist at U.S. Bank Wealth Management. ""While oil prices are likely slightly overbought in the very near term, touching the highest levels since early May, the bias appears to be for a grind higher,"" Haworth said. Oil prices gained nearly 2% on a weekly basis, after supply disruptions in Libya and Nigeria heightened concerns that the markets will tighten in coming months. Several oilfields in Libya were shut down on Thursday because of a local tribe's protest against the kidnapping of a former minister. Separately, Shell suspended loadings of Nigeria's Forcados crude oil owing to a potential leak at a terminal. The Libya disruption is halting an estimated 370,000 barrels per day (bpd) while the loss from the Nigerian outage is pegged at 225,000 bpd, said PVM analyst John Evans. Russian oil exports have also decreased significantly and, if this trend continues next week, it would probably drive prices up further since Russian oil exports are set to be reduced by 500,000 bpd in August, added Commerzbank analysts. (This story has been corrected to change the Brent price unit to 'per barrel' in paragraph 2)","
    Oil prices fell more than a dollar a barrel on Friday as the dollar strengthened and oil traders booked profits from a strong rally. Brent crude futures settled at $79.87 per barrel, down $1.49, or 1.8%, while the U.S. West Texas Intermediate crude futures fell $1.47, or 1.9%, to settle at $75.42 a barrel.
    The U.S. dollar index (.DXY) edged higher after hitting a 15-month low during the session, as investors consolidated ahead of the weekend. A stronger greenback reduces oil demand, making crude more expensive for investors holding other currencies.
    Oil prices gained nearly 2% on a weekly basis, after supply disruptions in Libya and Nigeria heightened concerns that the markets will tighten in coming months. Several oilfields in Libya were shut down on Thursday because of a local tribe's protest against the kidnapping of a former minister. Separately, Shell suspended loadings of Nigeria's Forcados crude oil owing to a potential leak at a terminal. The Libya disruption is halting an estimated 370,000 barrels per day (bpd) while the loss from the Nigerian outage is pegged at 225,000 bpd, said PVM analyst John Evans. Russian oil exports have also decreased significantly and, if this trend continues next week, it would probably drive prices up further since Russian oil exports are set to be reduced by 500,000 bpd in August, added Commerzbank analysts.","[Oil, Price, Dollar, Demand, Supply]"
FTSE 100 closes lower at the end of best week in three months,"July 14, 2023",https://www.reuters.com/world/uk/ftse-100-opens-flat-losses-financials-counter-healthcare-boost-2023-07-14/,"July 14 (Reuters) - Britain's FTSE 100 edged lower on Friday as a drop in oil stocks outweighed gains in industrials, while the index logged weekly gains on optimism about interest rates peaking in the U.S. The blue-chip FTSE 100 (.FTSE) slipped by 0.1%, dragged by oil stocks (.FTNMX401010) falling 1.7%, tracking lower crude prices. Capping losses, Spirax-Sarco Engineering (SPX.L) added 3.1% after UBS upgraded the valve maker's rating to ""buy"" from ""neutral"". Despite the session' losses, the FTSE 100 logged its best weekly performance in more than three months, while the midcap index posted its best week in eight months. Global markets have rallied this week as evidence of slowing inflation in the United States bolstered hopes that the Federal Reserve is nearing the end of its rate-hike cycle. ""Investors are trying to see through the malaise and looking six to nine months into the future when they hope things will be better,"" said Michael Field, senior equity analyst at Morningstar. Markets await the UK June consumer prices data due next week, to look for clues on where the Bank of England (BoE) stands on monetary policy tightening. ""General trend amongst the developed economies now is that CPI is falling relatively quickly and the UK has been stickier,"" Field added, with the implication the UK will need longer to bring inflation down. Meanwhile, the head of Britain's Office for Budget Responsibility (OBR) said inflationary pressures are becoming more embedded in the economy. The domestically-focussed FTSE 250 midcap index (.FTMC) fell 0.4%, led by a 9.7% drop in Liontrust Asset Management (LIO.L) as the company reported a fall in its assets under management and advice(AUMA). Dr Martens (DOCS.L) added 5.1% after the bootmaker announced the start of a share buyback program of up to 50 million pounds ($65.52 million).","

The FTSE 100 edged lower on Friday as a drop in oil stocks outweighed gains in industrials, while the index logged weekly gains on optimism about interest rates peaking in the U.S.

Global markets have rallied this week as evidence of slowing inflation in the United States bolstered hopes that the Federal Reserve is nearing the end of its rate-hike cycle.","[FTSE 100, oil stocks, inflation, rate-hike cycle, consumer prices]"
European shares close best week in over three months on US disinflation hopes,"July 14, 2023",https://www.reuters.com/markets/europe/european-shares-open-lower-eye-best-week-over-three-months-2023-07-14/,"July 14 (Reuters) - European shares edged slightly lower on Friday, but that did little to change their biggest weekly percentage jump in more than three months on hopes that easing inflation would allow the U.S. Federal Reserve to pause rate hikes soon. After five sessions of gains, the pan-European STOXX 600 index (.STOXX) closed 0.1% lower, as oil and gas stocks (.SXEP) dropped 2.1% on falling crude prices. The index has gained nearly 3% this week, marking its best week since the end of March, recouping almost all of last week's losses. ""We have also had central bankers saying that the evidence that inflation is moving back to their target in a quick manner is still not enough, being more focused on the risks"", said Elwin de Groot, head of macro strategy at Rabobank. Reports on U.S. inflation readings stoked speculation that the economy had entered a disinflation phase and the Fed could pause its tightening soon after delivering a 25 basis points rate hike in July. Euro zone government bond yields have also fallen as traders started to pare back rate hike bets from the European Central Bank, according to analysts. ""Short-term interest rate markets for the ECB are seeing perhaps one, maybe two more interest rate hikes this year,"" said Giles Coghlan, chief market analyst at HYCM. Data showed consumer prices in Sweden grew faster than expected in June, adding pressure on the central bank to tighten policy further. The rate-sensitive technology sector index (.SX8P) added 6% for the week, its best performance since January. The index also closed at its highest level since late January 2022. Miners (.SXPP) fell 1.0% on the day but remained the second best weekly sectoral performer, with gains of 5.7%, as metal prices got a boost from a weaker dollar. . All major European sector indexes were higher for the week. JPMorgan (JPM.N), Wells Fargo (WFC.N), Citi (C.N) and BlackRock (BLK.N) kicked off the U.S. reporting season with better-than-expected results, with all eyes now on euro zone company earnings. Telecom firms (.SXKP) fell 1.3%, with Nokia (NOKIA.HE) falling more than 9% after lowering its full-year results outlook. Its Swedish rival Ericsson (ERICb.ST) fell 10.6% after reporting a 62% slump in second-quarter adjusted operating profit. Swiss private investment firm Partners Group (PGHN.S) jumped 12.0% after reporting H1 assets under management growth above expectations. Swedish food retailer Axfood (AXFO.ST) gained 8.1% after reporting retail sales growth in the second quarter despite a decline in inflation.","

European shares edged slightly lower on Friday, but that did little to change their biggest weekly percentage jump in more than three months on hopes that easing inflation would allow the U.S. Federal Reserve to pause rate hikes soon.

The pan-European STOXX 600 index (.STOXX) closed 0.1% lower, as oil and gas stocks (.SXEP) dropped 2.1% on falling crude prices. The index has gained nearly 3% this week, marking its best week since the end of March, recouping almost all of last week's losses.","[Easing inflation, Fed, rate hikes, European shares, oil and gas stocks]"
Factbox: Oil supply disruptions boost prices,"July 14, 2023",https://www.reuters.com/business/energy/oil-supply-disruptions-boost-prices-2023-07-14/,"LONDON, July 14 (Reuters) - A series of oil supply disruptions across the globe has helped push Brent crude prices above $81 a barrel for the first time since April. Forecasters expect OPEC+ supply cuts and ramped up demand from China to tighten markets despite some macroeconomic headwinds. Below are details on recent disruptions: Shell (SHEL.L) on July 13 said it had suspended loadings of Nigeria’s Forcados crude oil due to a potential leak at the export terminal. Exports of the medium sweet grade, which was scheduled to ship 220,000 barrels per day (bpd) in July, were scuttled on Wednesday after workers saw fumes near the single buoy mooring that was loading oil onto a vessel, sources told Reuters. Technical problems have beset Forcados, one of the largest crude oil streams from Africa's top exporter, on and off for several months. Nigeria is expected to supply 1.23 million bpd of roughly 102.1 million bpd of projected global oil demand in 2023, according to the latest International Energy Agency (IEA) figures. Production at three Libyan oilfields ceased on July 13 in protest against the abduction of a former finance minister, a tribal leader, oil engineers and a protester told Reuters. One of the inactive fields, Sharara, is one of country's largest production areas with capacity of 300,000 bpd. It has been a frequent target of political strife. Libya is expected to supply 1.16 million bpd of projected global oil demand in 2023. Production plummeted by around a fifth in early July due to a widespread power outage in the region. The Caspian Pipeline Consortium (CPC), the main export pipeline for Kazakh crude oil, stopped three pumping stations in western Kazakhstan as a result, but continued pumping oil from Tengiz, the country’s biggest field by output. Recovery from the outage is now underway, but output so far remains below June's average of 1.8 million bpd. Kazakhstan is expected to supply 1.57 million bpd of projected global oil demand in 2023. Mexico's state oil company Petroleos Mexicanos (Pemex) is set to lose 100,000 bpd of crude output until the beginning of August after a massive fire on July 7 at an offshore platform, a top company source said. Pemex, which produces in total about 1.6 million bpd of oil, will lose at least 2 million barrels of crude through the end of July, according to Reuters estimates. Mexico is expected to supply 1.67 million bpd of projected global oil demand in 2023. Turkey halted Iraq's 450,000 bpd of exports through a crude oil pipeline from the semi-autonomous Kurdistan region in northern Iraq to the Turkish port of Ceyhan on March 25. Turkey's decision followed an arbitration ruling by the International Chamber of Commerce (ICC), which ordered Turkey to pay Baghdad damages of $1.5 billion for unauthorised exports by the Kurdistan Regional Government (KRG) between 2014 and 2018. Sources told Reuters in June that talks to discuss the halted exports had resumed. Iraq as a whole is expected to supply 4.24 million bpd of projected global oil demand in 2023.","

Oil prices have risen to $81 a barrel for the first time since April, as a series of supply disruptions across the globe tightens markets.

The disruptions include a potential leak at the Forcados export terminal in Nigeria, which could cut exports of the medium sweet grade by 220,000 barrels per day (bpd).

Production at three Libyan oilfields has also ceased in protest against the abduction of a former finance minister, while a widespread power outage in Kazakhstan has led to a drop in output.

Mexico's state oil company Petroleos Mexicanos (Pemex) is also set to lose 100,000 bpd of crude output after a fire at an offshore platform.

Oil prices are expected to remain high, as OPEC+ supply cuts and ramped up demand from China offset some macroeconomic headwinds.","[Oil, Supply, Disruption, Brent, Crude]"
"UAE shares buoyed by Fed pause bets, oil boost","July 14, 2023",https://www.reuters.com/world/middle-east/uae-shares-buoyed-by-fed-pause-bets-oil-boost-2023-07-14/,"July 14 (Reuters) - Stock markets in the United Arab Emirates (UAE) rose on Friday, as investors bet that the U.S. Federal Reserve was nearing the end of its rate-hiking cycle, while oil climbed above $81 following supply disruptions in Libya and Nigeria. On Thursday some oilfields in Libya were shut down because of a local tribe's protest against the kidnapping of a former minister, while Shell suspended loadings of Nigeria's Forcados crude oil owing to a potential leak at a terminal. Brent Crude was up $81.40 a barrel at 1148 GMT. Most Gulf Cooperation Council countries, including the UAE, Saudi Arabia and Qatar, have their currencies pegged to the U.S. dollar and generally follow the Fed's policy moves, exposing the region to a direct impact from any monetary policy move there. Abu Dhabi's benchmark index (.FTFADGI) rose 0.5%, extending gains to a third consecutive session, bolstered by a 0.9% increase in the country's largest lender First Abu Dhabi Bank (FAB.AD) and a 1.8% hike in Emirates Telecommunications Group (EAND.AD). In Dubai, the main share index (.DFMGI) also edged up 0.1%, supported mostly by its financial and industrial stocks, with Emirates NBD Bank (ENBD.DU), Dubai's largest lender, gaining 0.6% and business park operator TECOM Group (TECOM.DU) climbing more than 1%. Both the benchmarks in Abu Dhabi and Dubai were up 0.7% and 1.2% respectively on weekly basis.","

The UAE stock markets rose on Friday, as investors bet that the U.S. Federal Reserve was nearing the end of its rate-hiking cycle. Oil climbed above $81 following supply disruptions in Libya and Nigeria.

Most Gulf Cooperation Council countries, including the UAE, Saudi Arabia and Qatar, have their currencies pegged to the U.S. dollar and generally follow the Fed's policy moves, exposing the region to a direct impact from any monetary policy move there.","[Fed, oil, UAE, Libya, Nigeria]"
"Exclusive: Russia sets plans for oil export cuts in August, sources say","July 14, 2023",https://www.reuters.com/business/energy/russia-sets-plans-oil-export-cuts-august-sources-2023-07-14/,"MOSCOW, July 14 (Reuters) - Russian oil exports from western ports are set to fall by some 100,000-200,000 barrels per day next month from July levels, a sign Moscow is making good on its pledge for fresh supply cuts in tandem with OPEC leader Saudi Arabia, two sources said on Friday, citing export plans. OPEC and major producers including Russia, together known as OPEC+, have been cutting supply since November to support prices. Moscow this month pledged to cut exports by 500,000 bpd in August, while Saudi Arabia extended its 1 million bpd output cuts. As Russia did not reveal the baseline for its cut, analysts and traders had said it would be difficult to monitor. But according to trading sources and Refinitiv Eikon data, the August cuts will deepen export reductions between May and July that already total 500,000 barrels per day. July oil loadings from western ports, such as Primorsk and Ust-Luga in the Baltic Sea and Novorossiisk in the Black Sea, are set to fall to 1.9 million bpd this month compared to 2.3 million bpd in June and 2.4 million bpd in May. Russia exports oil and products via the Pacific and a direct pipeline to China as well as its European ports. Its export plans via eastern export routes are not yet available. Three sources familiar with the matter told Reuters that Russia had instructed oil companies to reduce supply plans for the next month. Its energy authorities held a meeting with the companies' top managers earlier this week, asking them to make more efforts to guarantee lower exports in August. A spokesperson for Russian Deputy Prime Minister Alexander Novak, who is in charge of Moscow's relations with OPEC+, did not reply to requests for comment. Novak said on Thursday that Russian companies themselves would decide whether to cut oil production in August, but that Russia's task was to reduce supplies to world markets. Russia's total crude and products exports are estimated at up to 7 million bpd, but data has been secret since the country's actions in Ukraine, which Moscow calls special military operation. Prior to Russia's announcement of plans to reduce overseas supplies, OPEC+ was only managing oil production, not exports. Igor Sechin, a powerful head of Russia's largest oil producer Rosneft, first hinted at the need to reduce exports as well as output last month. Russian offline primary oil refining capacity is seen rising by 40% in August from July, making additional oil export cuts next month even tougher for many. If Russia wants to cut oil exports in August from July, companies may postpone some planned works to autumn months to increase domestic oil consumption, or cut oil production, traders said.","

Russia is set to cut oil exports by 100,000-200,000 barrels per day in August, in line with its pledge to OPEC+. The move is likely to support oil prices, which have been rising in recent months due to supply concerns. Russia's total crude and products exports are estimated at up to 7 million bpd, but data has been secret since the country's actions in Ukraine.","[Russia, oil, export, cut, OPEC]"
"Indian refiners used yuan to pay for some Russian oil imports, official says","July 14, 2023",https://www.reuters.com/world/india/india-cenbank-give-banks-guidance-resolve-rupee-trade-issues-official-2023-07-14/,"NEW DELHI, July 14 (Reuters) - Indian refiners have settled some payments for Russian oil imports in Chinese yuan, but the U.S. dollar remains the dominant currency for such payments, a senior government official said. India became one of the biggest buyers of Russian crude after Western sanctions imposed on Moscow over the Ukraine war dragged down prices, but the South Asian country has been on the lookout for alternatives to the dollar for settling payments. Reuters reported earlier this month that Indian refiners have started turning to the yuan for some payments for Russian oil. ""Use of yuan for payment by India will remain limited, given India doesn't accumulate much yuan as export to China is low,"" the official, who did not want to be named, told Reuters. The official also said the Reserve Bank of India will release guidance for banks in two to three days to resolve some teething issues on the rupee trade mechanism. ""The issue with rupee trade is that it can only work as a barter currency,"" the official said. Due to defence trade, Russia has accumulated a lot of rupee reserves, he added. In May, Russian Foreign Minister Sergei Lavrov said talks were underway with India to exchange billions of rupees that have accumulated in Indian banks for other currencies.","

India has been settling some payments for Russian oil imports in Chinese yuan, but the U.S. dollar remains the dominant currency for such payments, a senior government official said.

India became one of the biggest buyers of Russian crude after Western sanctions imposed on Moscow over the Ukraine war dragged down prices, but the South Asian country has been on the lookout for alternatives to the dollar for settling payments.","[India, Russia, oil, yuan, dollar]"
