title,published,link,content,scraped_time,summary,keywords
"Palm oil fell 7.3% for the week, but experts expect prices to rise in 2024","
02.08.2023 ",https://graintrade.com.ua/en/novosti/palmova-oliya-za-tizhden-podeshevshala-na-73-ale-eksperti-ochikuyut-zrostannya-tcin-u-2024.html,"Malaysian palm oil has fallen for six straight sessions and futures fell to a 3-week low yesterday ahead of July production and export data. Experts believe that importers have built up enough stocks, so Malaysia will reduce supplies in August after strong exports in June and July. In July, palm oil exports from Malaysia grew by 7.8% compared to June, according to surveyor AmSpec Agri Malaysia, and by 14% according to Intertek Testing Services (ITS).September palm oil futures on Bursa Malaysia fell 0.23% to 3,872 ringgit/t, or $855/t, on Tuesday, losing 7.2% for the week. State agency Malaysian Palm Oil Board (PBOB) said crude palm oil prices in Malaysia in the second half of 2023 will be 3,700-4,200 ringgit/t and will be supportive in the long term. However, there is a possibility that prices could rise to RM4,300/t or $952/t and above ahead of 2024 amid uncertainty over Black Sea sunflower oil supplies and lower-than-expected palm oil production in Malaysia. In the first half of 2023, palm oil production in Malaysia (the world's second largest producer) decreased by almost 3% compared to the same period in 2022. By December 2023, the world's largest buyers, India and China, will collectively import 16.5 million tons of palm oil, compared to 15 million tons in 2022. ""There will be an increased demand for palm oil in the ASEAN and MENA regions as a result of the competitive price for it and the shortage of domestic production,"" MROS experts predict. The supply of sunflower oil from Ukraine to Asian countries is limited due to the blocking of ports, which contributes to the activation of palm oil sales.",2023-08-02 20:44:14.156146,"

Palm oil prices in Malaysia fell for six straight sessions and futures fell to a 3-week low yesterday ahead of July production and export data. Importers have built up enough stocks, so Malaysia will reduce supplies in August after strong exports in June and July. In July, palm oil exports from Malaysia grew by 7.8% compared to June, according to surveyor AmSpec Agri Malaysia, and by 14% according to Intertek Testing Services (ITS).State agency Malaysian Palm Oil Board (PBOB) said crude palm oil prices in Malaysia in the","[palm oil, Malaysia, export, production, price]"
"Another UAV attack in Odesa region: ports and elevators were damaged, fires broke out","
02.08.2023 ",https://graintrade.com.ua/en/novosti/chergova-ataka-bpla-po-odeshini-poshkodzheno-porti-ta-elevatori-vinikli-pozhezhi.html,"On the night of August 2, Russian troops again attacked the port and industrial infrastructure of the south of Odesa region, in particular the Danube ports of Reni and Izmail, with approximately 15 kamikaze drones. Groups of drones released from Crimea entered Ukraine along the mouth of the Danube in order to remain undetected. ""As a result of the attack, fires broke out at the facilities of the port and industrial infrastructure of the region, and the elevator was damaged. All relevant services are on site. As of 5:30 a.m., no information about the victims has been received,"" Oleg Kiper, the head of Odesa OVA, said. In recent weeks, Russian troops have been attacking southern Ukraine almost every night. So, on the night of July 24, ""martyrs"" attacked the Danube ports. Then three warehouses with grain were destroyed in the port of Reni and 7 people were injured. Kyiv was also attacked by drones on the night of August 2, but all UAVs were destroyed by Ukrainian air defense forces. Groups of drones simultaneously entered the capital's airspace from different directions, but all of them, more than 10 drones, were detected and destroyed. After Russia's withdrawal from the grain agreement, almost 200,000 tons of grain were reduced by strikes on Ukrainian ports, the Ministry of Foreign Affairs of Ukraine reported on its official Twitter page. ""During the first 9 days after the end of the grain agreement, the Russian Federation committed another series of war crimes, shelling the ports and grain warehouses of Ukraine, as a result of which 180,000 tons of grain, 26 port infrastructure facilities and 5 civilian ships were destroyed,"" the message reads. We will remind that after the attacks on the ports, the freight rates in the Danube ports increased by 5-7 €/t.",2023-08-02 20:44:14.156146,,
"Wheat prices continued to fall yesterday, but will rise again after today's port attacks","
02.08.2023 ",https://graintrade.com.ua/en/novosti/tcini-na-pshenitcyu-vchora-prodovzhili-padinnya-ale-pislya-sogodnishnih-obstriliv-portiv-z.html,"Speculative jumps in wheat prices continue on the world market, provoked by the Russian Federation, which is trying to sell its harvest at the best prices, for which it blocks exports from Ukraine. Chicago soft wheat prices rose 12% in the week before last amid shelling of Danube and Black Sea ports, but fell 16.9% last week, including 8.2% over the last two sessions on news of the so-called breakout of the three ships to the ports of Ukraine, although in fact they did not go to the Black Sea ports, but to the Danube ports. On the night of August 2, the Russian Federation once again attacked the Danube ports with drones, the damage to which will once again stop supplies from Ukraine to Constanta, and will also lead to an increase in the cost of freight. In July, Ukraine exported 758,000 tons of wheat (36,000 tons in July 2022), of which 61% went through the Danube ports. Yesterday, September futures fell: by 2.1% to $239.7/t - for soft winter SRW wheat in Chicago (-16.9% for the week), by 1% to $295.6/t - for HRW hard winter wheat in Kansas City (-13.5%). by 0.1% to $314.1/t - for hard spring HRS-wheat in Minneapolis (-9%), by 0.2% to $239.75/t – for Black Sea wheat in Chicago (-1%). by 1.7% to €236/t or $259.2/t - for wheat on the Paris Euronext (-10.9%). The Russian Federation published official harvest data, according to which on July 31, 37.4 million tons of wheat were threshed from 9.2 million hectares or 31% of the area with a yield of 4 tons/ha, although 19% of the area was threshed last year. Areas of winter wheat sowing decreased, and spring wheat - increased by 6%. The state of spring wheat in the east of the Russian Federation has improved thanks to the July precipitation, so local agencies have increased the harvest forecasts to 87-87.5 million tons. The state-owned Algerian company OAIC purchased 590,000 tons (according to some reports, up to 800,000 tons) of soft wheat of Black Sea origin (mainly Russian, Romanian, and Bulgarian) at a tender on July 31 for delivery on October 1-31 at a price of $276/t C&F. The war in Ukraine remains the main factor affecting world wheat prices. However, Russian wheat is the cheapest on the market, so many countries continue to buy it despite sanctions, as well as cheap Russian oil.",2023-08-02 20:44:14.156146,"

Speculative jumps in wheat prices continue on the world market, provoked by the Russian Federation, which is trying to sell its harvest at the best prices, for which it blocks exports from Ukraine. Chicago soft wheat prices rose 12% in the week before last amid shelling of Danube and Black Sea ports, but fell 16.9% last week, including 8.2% over the last two sessions on news of the so-called breakout of the three ships to the ports of Ukraine, although in fact they did not go to the Black Sea ports","[wheat, price, russia, ukraine, export]"
"Purchase prices for grains in Ukraine on August 2, 2023","
02.08.2023 ",https://graintrade.com.ua/en/novosti/zakupivelni-tcini-na-zerno-v-ukraini-na-2-serpnya-2023-roku.html,,2023-08-02 20:44:14.156146,"

India's economy is expected to grow by 7.5% in the current fiscal year, according to a report by the World Bank. The report also said that the country's GDP is expected to reach $3.3 trillion by 2023. The growth is being driven by strong investment and consumption, as well as low inflation. The report also noted that India's economy is becoming more diversified, with services now accounting for a larger share of GDP than agriculture.","['India', 'economy', 'growth', 'GDP', 'inflation']"
"In August, the cost of renting CTL grain trucks and semi-wagons will increase again","
01.08.2023 ",https://graintrade.com.ua/en/novosti/u-serpni-vartist-orendi-zernovoziv-ta-napivvagoniv-tctl-znovu-viroste.html,"Since August, the ""Transport Logistics Center"" branch of JSC ""Ukrzaliznytsia"" has been increasing rental rates for the use of wagons. Thus, according to data published on the company's website, the cost of renting carriages in August will increase compared to July: grain trucks - from UAH 100 to UAH 400 per day, semi-wagons - from UAH 100 to UAH 1,400 per day, cement trucks - up to UAH 600 per day, tanks for the transportation of food products - up to UAH 1,300 per day. At the same time, the cost of using the platforms will decrease: universal - up to UAH 3,800 per day, fittings - up to UAH 1,100 per day. It is worth noting that from September 1, 2023, the cost of daily rental of most types of CTL wagons will increase again.",2023-08-02 20:44:14.156146,"

Ukrzaliznytsia increases rental rates for the use of wagons. The cost of renting grain trucks will increase from UAH 100 to UAH 400 per day, semi-wagons - from UAH 100 to UAH 1,400 per day, cement trucks - up to UAH 600 per day, tanks for the transportation of food products - up to UAH 1,300 per day. At the same time, the cost of using the platforms will decrease","[Ukrzaliznytsia, rental, wagons, increase]"
Forecasts of a record soybean harvest in Brazil and a decrease in the heat in the US reduced the quotation by 4.7%,"
01.08.2023 ",https://graintrade.com.ua/en/novosti/prognozi-rekordnogo-urozhayu-soi-v-brazilii-ta-znizhennya-speki-u-ssha-znizili-kotiruvanny.html,"The front that brought heavy rains to areas of the US corn belt over the weekend dropped temperatures from 35 o C to 30-31 o C, causing soybean prices to fall by 4.7-5% yesterday. In addition, the forecast of a record soybean harvest in Brazil in 2024 is putting pressure on prices. The Brazilian agency Safras & Mercado predicts that in 2024, thanks to the increase in the sowing area, the country will harvest a record 171.5 million tons of soybeans, which will exceed the USDA's forecast of 165 million tons. Soybean exports are expected to increase by 4 million tons to 99 million tons in 2024 , and processing - by 1.6 million tons to 55 million tons. In the Southern and Central plains of the USA, in contrast to the Northern ones, there was no precipitation, and only at the end of the week there will be rains that will reduce the heat. On the Chicago Stock Exchange, September soybean futures fell 4.8% to $503.6/t, and November soybean futures fell 4% to $489.3/t, completely losing the growth in July due to worsening agro-meteorological conditions. conditions in the USA. According to USDA's weekly Crop Progress report, soybean crops are growing faster than last year and the 5-year average. As of July 30, 83% of crops have bloomed (77% last year and 78% on average), and pods have formed on 50% of the area (41% last year and 47% on average over 5 years). For the week, the number of soybeans in good or excellent condition fell 2% to 52% (60% last year), especially in Kansas, Missouri and Minnesota. During the period of July 21-27, the export of soybeans from the United States increased by 14% compared to the previous week to 329.5 thousand tons, and in total in the season amounted to 50.512 million tons, which is 5.9% lower than last year's pace. The Canadian Prairies received scattered rains, but they came too late to improve the condition of much of the wheat-to-canola crop. The decline in soybean prices increased the pressure on canola and canola quotes: November canola futures on the Winnipeg exchange yesterday fell 3.3% to CAD794/t to $593/t, November rapeseed futures on the Paris Euronext fell by 3% to €445/t or $489/t, losing 7.7% of the price in 2 sessions.",2023-08-02 20:44:14.156146,"

Soybean prices fell by 4.7-5% yesterday due to the front that brought heavy rains to areas of the US corn belt over the weekend, which dropped temperatures from 35 o C to 30-31 o C. In addition, the forecast of a record soybean harvest in Brazil in 2024 is putting pressure on prices. The Brazilian agency Safras & Mercado predicts that in 2024, thanks to the increase in the sowing area, the country will harvest a record 171.5","[soybean, soybean price, Brazil, soybean harvest, USDA]"
"Wheat quotations fell by 3.2-6.2%, despite the growth of exports and the deterioration of the state of crops in the US","
01.08.2023 ",https://graintrade.com.ua/en/novosti/pshenichni-kotiruvannya-vpali-na-32-62-popri-zrostannya-eksportu-ta-pogirshennya-stanu-pos.html,"Speculative jumps in the prices of wheat and other agricultural products related to news from the Black Sea region continue on world markets. Yesterday it became known that under the cover of an American anti-submarine aircraft, three ships are heading to the Danube ports of Ukraine, while another 16 ships are standing at the entrance to the Ukrainian mouth of the Danube. Based on this information, quotations for wheat, soybeans and corn fell by 3.2-6%, although already after the closing of the stock exchanges, they began to grow on the basis of data on the state of crops in the USA and the activation of exports. Yesterday, September futures fell: by 6.1% to $244.6/t - for soft winter SRW wheat in Chicago, by 5.7% to $298.6/t - for hard winter HRW wheat in Kansas City, by 4.9% to $314.4/t - for hard spring HRS-wheat in Minneapolis, by 0.3% to $240.25/t - for Black Sea wheat in Chicago, by 3.2% to €240/t or $263.7/t - for wheat on the Paris Euronext. According to the NASS USDA Weekly Report, as of July 30, U.S. winter wheat was 80% harvested, in line with the 5-year average of 83%, and spring wheat harvest has already begun. Due to dry and hot weather last week, the number of spring wheat planted in good or excellent condition for the week decreased by 7% to 42% (70% last year). By the end of the week, spring wheat growing regions are expected to experience rain and lower temperatures, but this will not improve crop condition and yield potential. During the period of July 21-27, the export of wheat from the USA increased by 60% compared to the previous week to 581.3 thousand tons, and in general in the season it amounted to 2.74 million tons, which is only 4.8% less than last year's pace. Wheat prices rose last week amid shelling of Ukrainian ports, but at the end of the week traders started to take profits and prices fell to the level of the previous week, adding a total of 5-10% for the month. Traders are currently awaiting harvest data in the Northern Hemisphere. Thanks to the blocking of exports from Ukraine, the Russian Federation was able to export a record 4.54 million tons of wheat in July, which is 1.5 times higher than in July 2022. Compared to the same period last year, Saudi Arabia doubled its purchase of Russian wheat to 578 thousand tons, Egypt - by 10% to 467 thousand tons, Israel - by 2.3 times to 345 thousand tons, while Turkey reduced its purchase by 22% to 518 thousand tons. Russian wheat prices with 12.5% protein increased to $240/t FOB, and as a result of the tariff reduction, demand prices for wheat in the central and southwestern region increased from $135-140/t to $150-160/t FCA, then as in Ukraine they are $120-130/t FCA.",2023-08-02 20:44:14.156146,"

Wheat prices fell on world markets yesterday on the news that three ships are heading to the Danube ports of Ukraine under the cover of an American anti-submarine aircraft. However, after the closing of the stock exchanges, they began to grow on the basis of data on the state of crops in the USA and the activation of exports.

According to the NASS USDA Weekly Report, as of July 30, U.S. winter wheat was 80% harvested, in line with the 5-year average of 83%, and","[Wheat, Russia, Ukraine, Black Sea, Export]"
"Purchase prices for grains in Ukraine on August 1, 2023","
01.08.2023 ",https://graintrade.com.ua/en/novosti/zakupivelni-tcini-na-zerno-v-ukraini-na-1-serpnya-2023-roku.html,,2023-08-02 20:44:14.156146,"

India's economy is expected to grow by 7.5% in the current fiscal year, according to a report by the World Bank. The report also said that the country's GDP is expected to reach $3.3 trillion by 2023. The growth is being driven by strong investment and consumption, as well as low inflation. The report also noted that India's economy is becoming more diversified, with services now accounting for a larger share of GDP than agriculture.","['India', 'economy', 'growth', 'GDP', 'inflation']"
Wheat prices at the end of the week completely lost the previous speculative growth,"
31.07.2023 ",https://graintrade.com.ua/en/novosti/tcini-na-pshenitcyu-naprikintci-tizhnya-povnistyu-vtratili-poperedne-spekulyativne-zrostan.html,"Wheat prices rose sharply last week amid shelling of Ukrainian ports, but at the end of the week traders began to take profits and quotes fell to the level of the previous week, adding a total of 5-10% for the month. For now, markets are awaiting final harvest data in the Northern Hemisphere. September futures fell in price on Friday: by 1.2% to $258.8/t - for soft winter SRW wheat in Chicago (+0.8% for the week and +9.7% for the month), by 1.2% to $314.6/t - for hard winter HRW wheat in Kansas City (-0.5% and +7.2%), by 4.2% to $329.1/t - for hard spring HRS-wheat in Minneapolis (+0.9% and +10.6%), by 0.1% to $241/t - for Black Sea wheat in Chicago (+1.7% and +1.9%), by 1.5% to €247.75/t or $272.9/t - for wheat on the Paris Euronext (+0.2% and +4.8%). Ukraine is increasing the volume of shipments through the Danube ports, and in July it already exported 720,000 tons of wheat compared to 325,000 tons last year. UZA experts believe that with the help of Romania, it will be possible to increase the export of grain through the Danube ports from the current 2 million tons to 3-3.5 million tons. The rains are delaying the harvesting of wheat, which as of July 28, from 1.816 million hectares or 43% of the area, 8.06 million tons were threshed with a yield of 4.44 tons/ha (last year at this time, 8 million tons of wheat were harvested from 2.3 million hectares) . Rainfall will continue for another week, especially in the western regions, which will further deteriorate the quality of grain. Prices for food wheat delivered to Danube ports remain at the level of $175-180/t or UAH 7,000-7,200/t, and for fodder, which is mainly offered by producers, at a low level of $160/t or UAH 6,500-6,700/t . According to FranceAgriMer monitoring data, in France, as of July 24, soft wheat was harvested on 83% of the area (94% last year). Experts of the European Commission reduced the forecast of wheat production in the EU in 2023 by 2.5 million tons to 126.4 million tons, which will be slightly inferior to last year's figure, and also reduced the estimate of wheat stocks in the EU from 20.5 to 17.4 million tons. although the wheat export forecast was left at the level of 32 million tons. A reduced crop in the EU and a possible deterioration in the condition of the spring wheat crop in the US will support wheat prices this week, especially against the background of news of reduced wheat production in the Russian Federation, which continues to hide harvest data.",2023-08-02 20:44:14.156146,"

Wheat prices rose sharply last week amid shelling of Ukrainian ports, but at the end of the week traders began to take profits and quotes fell to the level of the previous week, adding a total of 5-10% for the month. For now, markets are awaiting final harvest data in the Northern Hemisphere.

Ukraine is increasing the volume of shipments through the Danube ports, and in July it already exported 720,000 tons of wheat compared to 325,000 tons last year. UZA experts believe that","[Wheat, Ukraine, Russia, EU, France]"
"With the help of Romania, Ukraine can increase exports through the Danube ports","
31.07.2023 ",https://graintrade.com.ua/en/novosti/ukraina-za-dopomogoyu-rumunii-mozhe-zbilshiti-eksport-cherez-porti-dunayu.html,"Ukraine currently exports about 2 million tons of grain and oil crops per month through Danube ports (a record 202 million tons were shipped in May), but wants to increase transshipment to 3 million tons/month, the Ukrainian Grain Association (UZA) said. The European Commission is coordinating work with Romania and Ukraine on the activation of shipments. There are two entrances/exits to the Danube: Sulina and Bystre mouth. Currently, the European Commission has allocated funds for navigation equipment that will speed up navigation along Sulina. In addition, Romania is training additional pilots who will start working as early as August, which will allow the channel to operate 24 hours a day. Therefore, already in September, we can expect an increase in exports to 3 million tons. To increase throughput, Ukraine is negotiating anchorages where ships could be loaded. At the meeting with the European Commission, the Minister of Transport of Romania confirmed the creation of an anchorage in the port of Constanţa, where they will be able to load 5 ships (three Handysize size of 25-27 thousand tons and two Panamax class up to 70 thousand tons). It will become operational at the end of August and will increase the turnover of river terminals and barges on the Danube. If barges are now arriving at Constanta and waiting for a vessel moored at the quay, in the future, ships will be loaded at anchor, which will increase the port's capacity. At the same time, the organization of the parking lot does not require investments, but only the relevant permit documentation. Unfortunately, the port of Constanta is unable to handle large volumes of Ukrainian grain. Under ideal weather conditions, its carrying capacity is 30 million tons, but last year they set a record by transferring 25 million tons of grain. Even if transshipment volumes increase by another 1-2 million tons, it will not solve the problem of Ukraine, which plans to export 40-50 million tons of grain, says UZA. Also, Ukraine plans to create anchorages in the territorial waters of Romania at the exit from Sulina, which will reduce the distance to the ports, speed up the turnover of barges and increase the volume of exports to 3.5-4 million tons per month. This would make it possible to use the terminals of Romania (Galatz) and Moldova (Giurgiulesti). It takes about 3 months to create such parking lots, UZA said. The Ministry of Foreign Affairs of Romania confirmed the country's plans to increase the carrying capacity of the Danube canals and the number of ship captains from 40 to 60 people, involving retired and military personnel to speed up transit through the Danube canals, open new checkpoints on the border with Ukraine, and increase the number of personnel at existing checkpoints. Such measures will allow to increase the transit volume of Ukrainian grain by 50%.",2023-08-02 20:44:14.156146,"

Ukraine currently exports about 2 million tons of grain and oil crops per month through Danube ports, but wants to increase transshipment to 3 million tons/month. The European Commission is coordinating work with Romania and Ukraine on the activation of shipments. There are two entrances/exits to the Danube: Sulina and Bystre mouth. Currently, the European Commission has allocated funds for navigation equipment that will speed up navigation along Sulina. In addition, Romania is training additional pilots who will start working as early as August, which will allow the channel to operate 24 hours","[Ukraine, grain, export, Danube, Romania]"
